Pays;unit;Date;values
FR;GWH;2021;1772571,559
FR;GWH;2020;1641517,63
FR;GWH;2019;1806093,255
FR;GWH;2018;1808043,035
FR;GWH;2017;1836328,133
FR;GWH;2016;1839641,675
FR;GWH;2015;1827582,548
FR;GWH;2014;1787824,4
FR;GWH;2013;1904745,298
FR;GWH;2012;1877999,849
FR;GWH;2011;1833645,085
FR;GWH;2010;1880461,207
FR;GWH;2009;1831520,046
FR;GWH;2008;1903250,049
FR;GWH;2007;1882824,306
FR;GWH;2006;1914159,218
FR;GWH;2005;1943370,688
FR;GWH;2004;1960706,503
FR;GWH;2003;1931743,33
FR;GWH;2002;1904534,458
FR;GWH;2001;1937132,287
FR;GWH;2000;1822905,406
FR;GWH;1999;1823059,138
FR;GWH;1998;1827970,595
FR;GWH;1997;1766172,607
FR;GWH;1996;1835489,776
FR;GWH;1995;1725051,202
FR;GWH;1994;1669210,268
FR;GWH;1993;1757589,87
FR;GWH;1992;1744491,329
FR;GWH;1991;1783572,781
FR;GWH;1990;1695532,601
